Revenue_latest,Revenue_mean,Revenue_std,Expenditure_latest,Expenditure_mean,Expenditure_std,Staff_latest,Staff_mean,Staff_std,Profit_latest,Profit_mean,Profit_std,Profit_margin_latest,Profit_margin_mean,Revenue_trend,Expenditure_trend,Staff_trend,Loss_years
0.0,91250.0,105386.19454178996,33750.0,33850.0,47283.34802020686,1.0,1.0,0.0,-33750.0,57400.0,146529.17229457528,0.995,0.9975,-500.0000000000085,-20009.999999999996,0.0,2
3000000.0,2562500.0,471478.1719938545,2341000.0,1954000.0,345286.3545908912,2.0,2.0,0.0,659000.0,608500.0,146108.40724156384,0.21966666666666668,0.23575389522757945,344999.9999999999,262399.99999999994,0.0,0
0.0,8500.0,17000.0,0.0,1762.5,3525.0,0.0,0.25,0.5,0.0,6737.5,13475.0,0.7926470588235294,0.7926470588235294,-10200.0,-2114.9999999999995,-0.29999999999999993,0
0.0,532635.0,829794.2955335376,117000.0,39150.0,53948.72565686793,0.0,0.0,0.0,-117000.0,493485.0,840394.8630852047,0.9847274436090225,0.9827070694439963,-562553.9999999998,24389.999999999993,0.0,1
588000.0,447000.0,108388.19123871383,498000.0,384900.0,91301.91673782101,2.0,2.0,0.0,90000.0,62100.0,24560.9446072418,0.15306122448979592,0.13802756838471125,54000.0,50520.0,0.0,0
625000.0,535000.0,85537.51613570894,333800.0,301575.0,27439.190342768256,1.0,1.0,0.0,291200.0,233425.0,59988.13077045603,0.46592,0.43128508474576277,40999.999999999985,17589.999999999993,0.0,0
600000.0,330000.0,315594.67676119,870000.0,502500.0,372681.72301129374,1.0,1.0,0.0,-270000.0,-172500.0,164595.4636879968,-0.45,-1.1611111111111112,203999.99999999994,186999.99999999994,0.0,3
17520000.0,12202500.0,3987753.1267619864,14820000.0,9603500.0,3617930.2093876824,4.0,4.0,1.4142135623730951,2700000.0,2599000.0,895574.6758366943,0.1541095890410959,0.217476802280206,2999999.9999999995,2522799.999999999,-0.5999999999999999,0
650000.0,418750.0,286774.4467928294,230000.0,157750.0,106177.13187562251,1.0,1.0,0.0,420000.0,261000.0,181385.4091890157,0.6461538461538462,0.6212576312576313,197499.99999999994,70099.99999999999,0.0,0
8800000.0,7525000.0,899536.917900909,7415000.0,6503250.0,798588.0769625017,3.0,2.75,0.5,1385000.0,1021750.0,329635.53105412243,0.15738636363636363,0.13560982620320855,650000.0,610099.9999999999,0.09999999999999998,0
6456000.0,2367750.0,2730732.548236828,0.0,0.0,0.0,3.0,2.5,0.5773502691896257,6456000.0,2367750.0,2730732.548236828,1.0,1.0,1698299.9999999995,0.0,0.3999999999999999,0
100000.0,100000.0,0.0,490000.0,490000.0,0.0,3.0,3.0,0.0,-390000.0,-390000.0,0.0,-3.9,-3.9,0.0,0.0,0.0,4
1720000.0,1187000.0,576746.0446331643,709000.0,745000.0,213222.88807724183,1.0,1.0,0.0,1011000.0,442000.0,463506.92191882816,0.5877906976744186,0.29193430543464743,428799.99999999994,88799.99999999996,0.0,0
60000.0,26000.0,22978.250586152113,444000.0,177000.0,199689.75937688944,2.0,1.25,0.5,-384000.0,-151000.0,177910.0896520487,-6.4,-4.550000000000001,15200.0,145199.99999999997,0.29999999999999993,4
0.0,135000.0,172336.87939614087,0.0,264750.0,310210.00950968685,0.0,1.0,1.1547005383792515,0.0,-129750.0,151262.1895914508,-1.5833333333333333,-1.1166666666666667,-125999.99999999997,-224699.99999999997,-0.7999999999999998,2
1000000.0,274000.0,486111.09841269825,186000.0,198000.0,16248.07680927192,2.0,2.0,0.0,814000.0,76000.0,492982.75831919315,0.814,-0.24925000000000003,309600.0,1199.9999999999998,0.0,3
1977000.0,494250.0,988500.0,0.0,125000.0,250000.0,4.0,3.5,0.5773502691896257,1977000.0,369250.0,1097443.5065186727,1.0,1.0,593099.9999999999,-150000.0,0.3999999999999999,1
0.0,10882500.0,19482861.4855895,0.0,1057500.0,1221430.1726528073,2.0,2.0,0.0,0.0,9825000.0,18741293.9788052,0.948,0.6694674220963173,-5059000.0,-852999.9999999999,0.0,0
